,İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,TL
1067,20841839,24 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2018,94.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,839.500
1068,20840731,24 Ağustos 2022,Renault,Symbol,1.5 dCi Authentique,2011,199.000 km,Düz,Dizel,Sedan,1461 cc,65 hp,Önden Çekiş,"4,5 lt",50 lt,"1 değişen, 3 boyalı",Takasa Uygun,Sahibinden,200.000
1069,20841895,24 Ağustos 2022,Hyundai,i20,1.4 MPI Jump,2017,114.500 km,Otomatik,Benzin,Hatchback/5,1368 cc,100 hp,Önden Çekiş,"6,2 lt",50 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,369.500
1070,20841799,24 Ağustos 2022,Opel,Astra,1.3 CDTI ecoFLEX Sport,2011,174.000 km,Düz,Dizel,Hatchback/5,1248 cc,95 hp,Önden Çekiş,"4,2 lt",56 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,325.000
1071,20841937,24 Ağustos 2022,Volkswagen,Passat Variant,1.6 TDi BlueMotion Comfortline,2015,200.000 km,Yarı Otomatik,Dizel,Station wagon,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,572.500
1072,20841777,24 Ağustos 2022,Seat,Leon,1.6 TDI Xcellence,2019,30.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"4,1 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,739.500
1073,19069011,24 Ağustos 2022,Volkswagen,Jetta,1.4 TSi Trendline,2014,78.500 km,Yarı Otomatik,Benzin,Sedan,1390 cc,122 hp,Önden Çekiş,6 lt,55 lt,Tamamı orjinal,Takasa Uygun,Galeriden,460.000
1074,20841836,24 Ağustos 2022,Citroen,C-Elysee,1.6 HDi Attraction,2015,203.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,245.000
1075,20841864,24 Ağustos 2022,Opel,Astra,1.6 CDTI Business,2015,255.000 km,Düz,Dizel,Sedan,1598 cc,136 hp,Önden Çekiş,"4,2 lt",56 lt,"2 değişen, 2 boyalı",Takasa Uygun,Galeriden,312.500
1076,20841744,24 Ağustos 2022,Nissan,Micra,1.2 Mood,2007,221.000 km,Düz,LPG & Benzin,Hatchback/3,1240 cc,65 hp,Önden Çekiş,"5,9 lt",46 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,168.000
1077,20400633,24 Ağustos 2022,Aston Martin,DB9,Coupe,2012,22.500 km,Otomatik,Benzin,Coupe,5935 cc,476 hp,Arkadan İtiş,"15,6 lt",80 lt,Belirtilmemiş,Takasa Uygun,Yetkili Bayiden,3.475.000
1078,20841561,24 Ağustos 2022,Ford,Focus,1.5 TDCi Titanium,2016,110.000 km,Yarı Otomatik,Dizel,Sedan,1499 cc,120 hp,Önden Çekiş,"4,2 lt",55 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,515.000
1079,20841674,24 Ağustos 2022,Opel,Corsa,1.2 Twinport Essentia,2012,172.000 km,Düz,Benzin,Hatchback/5,1229 cc,85 hp,Önden Çekiş,"5,3 lt",45 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,265.000
1080,20841264,24 Ağustos 2022,Kia,Rio,1.4 CRDi Concept Plus,2015,201.000 km,Düz,Dizel,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"3,9 lt",43 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,323.900
1081,20841531,24 Ağustos 2022,Renault,Clio,1.5 dCi Joy,2017,189.000 km,Düz,Dizel,Hatchback/5,1461 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,270.000
1082,20841467,24 Ağustos 2022,Renault,Fluence,1.5 dCi Touch,2015,148.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,363.500
1083,20841472,24 Ağustos 2022,Volkswagen,Jetta,1.2 TSi BlueMotion Comfortline,2017,99.000 km,Yarı Otomatik,Benzin,Sedan,1197 cc,105 hp,Önden Çekiş,"4,9 lt",55 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,492.500
1084,20841154,24 Ağustos 2022,Skoda,Octavia,1.6 TDI Ambition,2017,135.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,555.000
1085,20841067,24 Ağustos 2022,Seat,Leon,1.4 TSI FR,2012,179.000 km,Düz,Benzin,Hatchback/5,1390 cc,125 hp,Önden Çekiş,"6,2 lt",55 lt,"4 değişen, 2 boyalı",Takasa Uygun,Sahibinden,309.000
1086,20840982,24 Ağustos 2022,Renault,Megane,1.5 dCi Authentique,2006,398.775 km,Düz,Dizel,Sedan,1461 cc,85 hp,Önden Çekiş,"4,6 lt",60 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,165.000
1087,20841320,24 Ağustos 2022,Volkswagen,Polo,1.6,1998,324.000 km,Düz,LPG & Benzin,Hatchback/3,1598 cc,75 hp,Önden Çekiş,"6,9 lt",45 lt,Tamamı boyalı,Takasa Uygun Değil,Sahibinden,140.000
1088,20841156,24 Ağustos 2022,BMW,3 Serisi,320i ED Sport Line,2015,135.000 km,Otomatik,Benzin,Sedan,1598 cc,170 hp,Arkadan İtiş,"5,3 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,815.000
1089,20841287,24 Ağustos 2022,Hyundai,i20,1.2 MPI Jump,2016,81.000 km,Düz,LPG & Benzin,Hatchback/5,1248 cc,84 hp,Önden Çekiş,"5,1 lt",50 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,330.000
1090,20841095,24 Ağustos 2022,Toyota,Auris,1.33 Comfort,2011,143.500 km,Düz,Benzin,Hatchback/5,1329 cc,76 - 100 HP,Önden Çekiş,6 lt,55 lt,1 değişen,Takasa Uygun,Sahibinden,310.000
1091,20841306,24 Ağustos 2022,Renault,Megane,1.5 dCi Touch Plus,2016,117.000 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,110 hp,Önden Çekiş,"3,7 lt",47 lt,"2 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,430.000
1092,20637441,24 Ağustos 2022,Renault,Megane,1.5 Blue DCI Joy,2020,48.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,115 hp,Önden Çekiş,"4,2 lt",49 lt,1 boyalı,Takasa Uygun,Galeriden,519.950
1093,20637380,24 Ağustos 2022,Audi,A5,A5 Coupe 1.8 TFSI,2011,136.000 km,Otomatik,Benzin,Coupe,1798 cc,170 hp,Önden Çekiş,"7,4 lt",64 lt,"2 değişen, 7 boyalı",Takasa Uygun,Galeriden,549.950
1094,20748996,24 Ağustos 2022,Mercedes - Benz,C,C 180 BlueEFFICIENCY Fascination,2016,110.000 km,Otomatik,Benzin,Sedan,1595 cc,156 hp,Arkadan İtiş,"6,4 lt",59 lt,5 boyalı,Takasa Uygun,Galeriden,874.950
1095,20748895,24 Ağustos 2022,Mercedes - Benz,CLA,180 D Urban,2018,45.000 km,Otomatik,Dizel,Coupe,1461 cc,109 hp,Önden Çekiş,"3,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,939.750
1096,20637681,24 Ağustos 2022,Skoda,Octavia,1.2 TSI Style,2016,99.000 km,Yarı Otomatik,Benzin,Hatchback/5,1197 cc,110 hp,Önden Çekiş,"4,9 lt",50 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,389.750
1097,20637494,24 Ağustos 2022,Mercedes - Benz,C,C 180 Avantgarde,2016,94.000 km,Otomatik,Benzin,Sedan,1595 cc,156 hp,Arkadan İtiş,"5,8 lt",41 lt,Belirtilmemiş,Takasa Uygun,Galeriden,909.750
1098,20637466,24 Ağustos 2022,Volkswagen,Jetta,1.6 TDi Trendline,2014,119.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,"1 değişen, 6 boyalı",Takasa Uygun,Galeriden,389.950
1099,20637322,24 Ağustos 2022,BMW,3 Serisi,316i Standart,2014,98.000 km,Otomatik,Benzin,Sedan,1598 cc,136 hp,Arkadan İtiş,"5,8 lt",60 lt,7 boyalı,Takasa Uygun,Galeriden,639.950
1100,20416195,24 Ağustos 2022,Toyota,Corolla,1.4 D-4D Comfort Extra,2012,211.500 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,8 lt",55 lt,"2 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,306.500
1101,20400613,24 Ağustos 2022,Opel,Astra,1.4 T Sport,2011,155.000 km,Otomatik,Benzin,Hatchback/5,1364 cc,140 hp,Önden Çekiş,7 lt,56 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,339.000
1102,20841161,24 Ağustos 2022,Fiat,Egea,1.3 Multijet Urban,2016,190.500 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,320.000
1103,20425326,24 Ağustos 2022,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2014,193.000 km,Otomatik,Dizel,Sedan,1582 cc,136 hp,Önden Çekiş,"5,6 lt",43 lt,"3 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,302.000
1104,20841333,24 Ağustos 2022,Skoda,Octavia,1.4 TSI Elegance,2011,136.300 km,Yarı Otomatik,Benzin,Hatchback/5,1390 cc,122 hp,Önden Çekiş,"6,3 lt",55 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,379.900
1105,20841363,24 Ağustos 2022,Renault,Talisman,1.6 dCi Icon,2018,127.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,130 hp,Önden Çekiş,"4,2 lt",51 lt,1 değişen,Takasa Uygun,Galeriden,745.000
1106,20841327,24 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2017,102.140 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,6 boyalı,Takasa Uygun,Galeriden,710.000
1107,20841308,24 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2018,105.426 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,2 boyalı,Takasa Uygun,Galeriden,785.000
1108,20841284,24 Ağustos 2022,Mercedes - Benz,C,C 200 d BlueTEC AMG,2016,89.202 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Arkadan İtiş,"4,2 lt",41 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,1.050.000
1109,20841255,24 Ağustos 2022,Renault,Clio,1.5 dCi SportTourer Joy,2018,116.470 km,Düz,Dizel,Station wagon,1461 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,5 boyalı,Takasa Uygun,Galeriden,319.000
1110,20841195,24 Ağustos 2022,Toyota,Corolla,1.33 Life,2016,104.500 km,Düz,LPG & Benzin,Sedan,1329 cc,99 hp,Önden Çekiş,"5,8 lt",55 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,380.000
1111,20404289,24 Ağustos 2022,Renault,Taliant,1.0 Tce Joy,2022,0 km,Otomatik,Benzin,Sedan,999 cc,90 hp,Önden Çekiş,"6,1 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,475.000
1112,19946498,24 Ağustos 2022,Opel,Corsa,1.3 CDTI Essentia,2013,158.000 km,Düz,Dizel,Hatchback/3,1248 cc,75 hp,Önden Çekiş,"4,2 lt",45 lt,"1 değişen, 11 boyalı",Takasa Uygun Değil,Sahibinden,198.000
1113,20404384,24 Ağustos 2022,Renault,Taliant,1.0 Tce Joy,2022,0 km,Otomatik,Benzin,Sedan,999 cc,90 hp,Önden Çekiş,"6,1 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,480.000
1114,20841212,24 Ağustos 2022,Renault,Megane,1.5 dCi Touch,2018,103.257 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Belirtilmemiş,Takasa Uygun,Galeriden,545.000
1115,20418096,24 Ağustos 2022,Renault,Laguna,2.0 RXE,1998,289.000 km,Düz,LPG & Benzin,Hatchback/5,1948 cc,139 hp,Önden Çekiş,0 lt,66 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,127.000
1116,20841124,24 Ağustos 2022,Toyota,Corolla,1.6 Premium 50.Yıl,2018,46.000 km,Otomatik,Benzin,Sedan,1598 cc,132 hp,Önden Çekiş,"6,1 lt",55 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,620.000
1117,20419506,24 Ağustos 2022,Opel,Astra,1.6 Edition Plus,2017,72.000 km,Düz,LPG & Benzin,Sedan,1598 cc,115 hp,Önden Çekiş,"6,5 lt",56 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,375.000
1118,20423866,24 Ağustos 2022,Fiat,Egea,1.4 Fire Urban Plus,2020,21.721 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"5,7 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,385.000
1119,20423336,24 Ağustos 2022,Renault,Symbol,0.9 TCe Joy,2019,14.838 km,Düz,Benzin,Sedan,898 cc,90 hp,Önden Çekiş,"5,1 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,320.000
1120,20415159,24 Ağustos 2022,Volkswagen,Golf,2.0 GTi,1997,248.000 km,Düz,LPG & Benzin,Hatchback/5,1984 cc,150 hp,Önden Çekiş,0 lt,55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,95.000
1121,20414184,24 Ağustos 2022,Citroen,C-Elysee,1.6 HDi Confort,2016,84.400 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,1 değişen,Takasa Uygun,Sahibinden,297.000
1122,20423985,24 Ağustos 2022,Fiat,Egea,1.4 Fire Urban,2021,19.888 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"6,4 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,395.000
1123,20423507,24 Ağustos 2022,Renault,Symbol,0.9 TCe Joy,2020,19.312 km,Düz,Benzin,Sedan,898 cc,90 hp,Önden Çekiş,"5,1 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,325.000
1124,20840989,24 Ağustos 2022,Mazda,323,1.5 Practica,1997,256.000 km,Otomatik,LPG & Benzin,Hatchback/3,1489 cc,88 hp,Önden Çekiş,"8,4 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,96.000
1125,20837303,24 Ağustos 2022,Renault,Megane,1.3 Tce Joy Comfort,2021,7.750 km,Düz,Benzin,Sedan,1332 cc,140 hp,Önden Çekiş,"5,7 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,515.000
1126,20684400,24 Ağustos 2022,Volkswagen,Polo,1.0 Comfortline,2018,149.000 km,Yarı Otomatik,Benzin,Hatchback/5,999 cc,95 hp,Önden Çekiş,"4,6 lt",40 lt,Tamamı orjinal,Takasa Uygun,Galeriden,495.000
1127,20666776,24 Ağustos 2022,Volkswagen,Jetta,1.6 TDi Trendline,2012,227.000 km,Düz,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"4,5 lt",55 lt,Tamamı orjinal,Takasa Uygun,Galeriden,320.000
1128,20666696,24 Ağustos 2022,Mercedes - Benz,C,C 200 Kompressor Sportcoupe,2002,235.000 km,Otomatik,LPG & Benzin,Coupe,1796 cc,163 hp,Arkadan İtiş,"8,5 lt",62 lt,Tamamı orjinal,Takasa Uygun,Galeriden,249.500
1129,20666688,24 Ağustos 2022,Renault,Megane,1.5 dCi Touch,2017,141.000 km,Düz,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,9 lt",49 lt,Tamamı orjinal,Takasa Uygun,Galeriden,425.000
1130,20840881,24 Ağustos 2022,Fiat,Egea,1.4 Fire Easy,2021,3.000 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"6,4 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,377.000
1131,20840860,24 Ağustos 2022,Audi,A4,A4 Sedan 1.8,2000,229.000 km,Düz,LPG & Benzin,Sedan,1781 cc,125 hp,Önden Çekiş,"8,5 lt",62 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,167.500
1132,20840838,24 Ağustos 2022,Peugeot,207,1.4 VTi Trendy,2009,205.000 km,Düz,LPG & Benzin,Hatchback/5,1397 cc,96 hp,Önden Çekiş,"6,1 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,240.000
1133,20840814,24 Ağustos 2022,Seat,Leon,1.4 TSI FR,2013,149.500 km,Düz,Benzin,Hatchback/5,1395 cc,140 hp,Önden Çekiş,"5,2 lt",50 lt,3 boyalı,Takasa Uygun,Sahibinden,350.000
1134,20824555,24 Ağustos 2022,Peugeot,206,1.4 HDi X-Design,2006,182.000 km,Düz,Dizel,Hatchback/5,1398 cc,69 hp,Önden Çekiş,"4,3 lt",50 lt,10 boyalı,Takasa Uygun Değil,Sahibinden,152.000
1135,20840800,24 Ağustos 2022,Volkswagen,Jetta,1.6 TDi Trendline,2014,106.185 km,Yarı Otomatik,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,2 boyalı,Takasa Uygun Değil,Yetkili Bayiden,455.000
1136,20840843,24 Ağustos 2022,Mercedes - Benz,E,250 Elit,2014,205.000 km,Otomatik,Benzin,Sedan,1991 cc,211 hp,Arkadan İtiş,"6,1 lt",59 lt,Tamamı orjinal,Takasa Uygun,Galeriden,995.000
1137,20840696,24 Ağustos 2022,Peugeot,207,1.4 Trendy,2011,200.000 km,Düz,Benzin,Hatchback/5,1360 cc,76 hp,Önden Çekiş,"6,3 lt",50 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,258.500
1138,20837221,24 Ağustos 2022,Fiat,Albea,Sole 1.3 Multijet Dynamic,2007,791.500 km,Düz,Dizel,Sedan,1248 cc,70 hp,Önden Çekiş,"4,7 lt",48 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,90.500
1139,20840437,24 Ağustos 2022,Renault,Twingo,1.2 Alize,2001,255.000 km,Otomatik,LPG & Benzin,Hatchback/3,1149 cc,58 hp,Önden Çekiş,7 lt,40 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,140.000
1140,20840662,24 Ağustos 2022,Peugeot,208,1.2 PureTech Active,2017,40.150 km,Düz,Benzin,Hatchback/5,1199 cc,83 hp,Önden Çekiş,"4,5 lt",50 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,319.000
1141,20840602,24 Ağustos 2022,Mercedes - Benz,C,C 200 BlueTEC Exclusive,2018,51.000 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Arkadan İtiş,"4,2 lt",41 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,1.225.000
1142,19235999,24 Ağustos 2022,Renault,R 9,1.4 Broadway RN,1997,211.000 km,Düz,LPG & Benzin,Sedan,1390 cc,83 hp,Önden Çekiş,0 lt,47 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,74.500
1143,20840464,24 Ağustos 2022,Ford,Focus,1.6 TDCi Style,2012,166.000 km,Düz,Dizel,Hatchback/5,1560 cc,115 hp,Önden Çekiş,"4,2 lt",53 lt,3 boyalı,Takasa Uygun,Sahibinden,338.000
1144,20840656,24 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Business,2020,49.000 km,Yarı Otomatik,Dizel,Station wagon,1598 cc,120 hp,Önden Çekiş,"4,4 lt",66 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,1.100.000
1145,20777101,24 Ağustos 2022,Ford,Focus,1.5 Ti-VCT Trend X,2022,40 km,Otomatik,Benzin,Sedan,1497 cc,123 hp,Önden Çekiş,"6,5 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,769.900
1146,19718081,24 Ağustos 2022,Mercedes - Benz,B,B 180 CDI BlueEFFICIENCY Elite,2014,239.000 km,Yarı Otomatik,Dizel,MPV,1461 cc,109 hp,Önden Çekiş,4 lt,56 lt,3 boyalı,Takasa Uygun Değil,Galeriden,510.000
1147,20840611,24 Ağustos 2022,Renault,R 19,1.4 Europa RT,1994,325.000 km,Düz,LPG & Benzin,Hatchback/5,1397 cc,80 hp,Önden Çekiş,0 lt,0 lt,Belirtilmemiş,Takasa Uygun,Galeriden,73.750
1148,20424999,24 Ağustos 2022,Ford,Focus,1.6 Ti-VCT Style,2013,123.000 km,Yarı Otomatik,Benzin,Sedan,1596 cc,125 hp,Önden Çekiş,6 lt,55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,389.750
1149,20424994,24 Ağustos 2022,Ford,Focus,1.6 Ti-VCT Trend X,2014,72.000 km,Yarı Otomatik,Benzin,Hatchback/5,1596 cc,125 hp,Önden Çekiş,"6,3 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,439.750
1150,20424987,24 Ağustos 2022,BMW,5 Serisi,520d Premium,2015,140.000 km,Otomatik,Dizel,Sedan,1995 cc,190 hp,Arkadan İtiş,"4,1 lt",70 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.299.750
1151,20424983,24 Ağustos 2022,BMW,3 Serisi,320i,2009,104.000 km,Otomatik,Benzin,Sedan,1995 cc,170 hp,Arkadan İtiş,"6,1 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,519.750
1152,20840552,24 Ağustos 2022,Peugeot,106,Quicksilver,2002,270.000 km,Düz,Benzin,Hatchback/3,1360 cc,76 hp,Önden Çekiş,"6,9 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,90.000
1153,20840391,24 Ağustos 2022,Geely,Emgrand,1.5 GSL Premium SR,2012,91.500 km,Düz,LPG & Benzin,Hatchback/5,1498 cc,106 hp,Önden Çekiş,"7,2 lt",53 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,235.000
1154,20840572,24 Ağustos 2022,Toyota,Corolla,1.5 Flame X-Pack,2021,12.000 km,Otomatik,Benzin,Sedan,1490 cc,125 hp,Önden Çekiş,"5,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,685.950
1155,20840390,24 Ağustos 2022,Opel,Meriva,1.3 CDTI EcoFlex Cosmo,2011,190.000 km,Düz,Dizel,MPV,1248 cc,95 hp,Önden Çekiş,"4,5 lt",54 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,295.000
1156,20763739,24 Ağustos 2022,Renault,Clio,1.5 dCi Touch,2019,27.200 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,90 hp,Önden Çekiş,"3,7 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,458.000
1157,20763670,24 Ağustos 2022,Renault,Clio,1.5 dCi Touch,2016,32.000 km,Düz,Dizel,Hatchback/5,1461 cc,90 hp,Önden Çekiş,"3,6 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,373.000
1158,20723559,24 Ağustos 2022,Renault,Megane,1.5 dCi Touch,2019,36.750 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Belirtilmemiş,Takasa Uygun,Galeriden,607.000
1159,20836181,24 Ağustos 2022,Opel,Astra,1.3 CDTI Enjoy,2011,219.000 km,Düz,Dizel,Sedan,1248 cc,90 hp,Önden Çekiş,"5,1 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,215.000
1160,20840513,24 Ağustos 2022,Renault,Megane,1.5 Blue DCI Touch,2019,79.300 km,Yarı Otomatik,Dizel,Sedan,1461 cc,115 hp,Önden Çekiş,"4,2 lt",49 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,550.000
1161,20840502,24 Ağustos 2022,Mercedes - Benz,E,200 d AMG,2022,0 km,Otomatik,Dizel,Sedan,1597 cc,160 hp,Arkadan İtiş,"4,7 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,2.585.000
1162,20840478,24 Ağustos 2022,Renault,Clio,1.5 dCi SportTourer Joy,2017,146.000 km,Düz,Dizel,Station wagon,1461 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,309.750
1163,20840355,24 Ağustos 2022,Seat,Leon,1.6 TDI Style,2017,104.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"4,1 lt",50 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,505.000
1164,20767099,24 Ağustos 2022,Nissan,Micra,1.2 Tekna,2005,199.000 km,Otomatik,LPG & Benzin,Hatchback/5,1240 cc,80 hp,Önden Çekiş,"6,6 lt",46 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,225.000
1165,20840452,24 Ağustos 2022,Dacia,Sandero,1.5 dCi Stepway,2018,123.000 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,90 hp,Önden Çekiş,"3,8 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,359.500
1166,20840399,24 Ağustos 2022,Ford,Fiesta,1.6 Comfort,2007,107.000 km,Otomatik,LPG & Benzin,Hatchback/5,1596 cc,100 hp,Önden Çekiş,"7,4 lt",45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,232.500
1167,20840442,24 Ağustos 2022,Seat,Leon,1.6 TDI Style,2018,117.465 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,110 hp,Önden Çekiş,"3,8 lt",50 lt,3 boyalı,Takasa Uygun Değil,Galeriden,520.750
1168,19962486,24 Ağustos 2022,Opel,Astra,1.6 CDTI Design,2017,96.100 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Önden Çekiş,"5,1 lt",56 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,457.000
1169,20480542,24 Ağustos 2022,Seat,Leon,1.0 eTSI Style Plus,2021,3.250 km,Yarı Otomatik,Benzin,Hatchback/5,999 cc,110 hp,Önden Çekiş,"5,3 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,742.000
1170,20839874,24 Ağustos 2022,Lada,Vega,1.5,2004,223.000 km,Düz,LPG & Benzin,Hatchback/5,1499 cc,93 hp,Önden Çekiş,"7,4 lt",43 lt,3 boyalı,Takasa Uygun,Sahibinden,87.500
1171,20840253,24 Ağustos 2022,Mercedes - Benz,C,C 200 d BlueTEC Fascination,2016,92.000 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Arkadan İtiş,"4,2 lt",41 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,1.100.000
1172,20840045,24 Ağustos 2022,Peugeot,307,1.6 HDi XS,2005,270.000 km,Düz,Dizel,Hatchback/5,1560 cc,112 hp,Önden Çekiş,"4,9 lt",60 lt,10 boyalı,Takasa Uygun Değil,Sahibinden,163.500
